year,authority_code,is_treatment,district,distance_from_tel_aviv,year_of_municipal_status,council_members_number,socioeconomic_level,compactness_cluster,peripheral_cluster,total_jurisdiction_area,population_density,total_population,jews_and_others,arabs,total_men,total_women,dependency_ratio,natural_increase_per_1000,total_migration_balance,immigrants_post_1990,population_growth_rate,residential_percent_area,education_percent_area,health_welfare_percent_area,public_services_percent_area,culture_leisure_sports_percent_area,commerce_percent_area,industry_infrastructure_percent_area,transportation_percent_area,agricultural_buildings_percent_area,public_open_space_percent_area,forest_woodland_percent_area,orchards_citrus_olive_percent_area,cultivated_fields_percent_area,other_open_space_percent_area,total_classes,total_students,avg_students_per_class,percent_bagrut_eligible,percent_university_bagrut,water_receipts,total_private_cars,avg_car_age,accidents_per_1000_residents,accidents_per_1000_vehicles,unemployment_benefits_total,male_unemployment_benefits,avg_age_unemployment_recipients,income_support_recipients_yearly,avg_salary_employees,avg_salary_male,avg_salary_female,change_salary_emp_yoy,change_salary_male_yoy,change_salary_female_yoy,employees_total,percent_earning_min_wage,self_employed_total,avg_income_self_employed,change_income_self_employed_yoy,percent_earning_half_avg_salary,inequality_index_gini,total_revenues,revenues_change,regular_budget_revenues,gov_participation,gov_participation_change,special_budget_revenues,property_tax_total_prev_year,property_tax_residential_prev_year,property_tax_business_prev_year,property_tax_total_current_year,property_tax_residential_current_year,property_tax_business_current_year
1999,6700,1,4,,1877,17.0,4.0,,,10.444,6274,38.4,94.9,,19.1,19.3,,14.27332229319454,100,979,1.792627950145857,,,,,,,6.2,,,,,,,,305,7024,23.02950819672131,,,6037.8,6825,6.5,3.1,13.7,1052,532,36,3835,4020.0011623691,5118.062264860798,2876.181537121707,1.464294986632964,2.14233384731437,1.330300326086364,15629,44.6,1256,5257.560177813163,-2.115433434915603,44.3,0.3986470727072942,218422,7.689003316980259,179985,72379,1.196285812906828,38437,,,,,,
1999,2730,0,6,,1990,17.0,3.0,,,18.646,5454,27.8,,,14.1,13.6,,29.60406165534371,1,,2.963979671328417,,,,,,,,,,,,,,,204,6596,32.33333333333334,,,2928.03,3764,9.4,1.0,5.3,447,325,34,2592,3213.977443525436,3647.753816152243,2367.096987002757,-0.835302030964169,-0.09044462335712211,0.1258389796616743,7496,49.9,898,3850.349201930215,-3.408706126939676,57.1,0.327010089935917,60951,-10.37895537718623,53535,42237,-3.923904511411536,7416,,,,,,
1999,2720,0,6,,1991,13.0,4.0,,,11.92,2711,17.8,,,9.1,8.8,,25.78446684651427,35,,2.520573171433526,,,,,,,,,,,,,,,154,4447,28.87662337662338,,,2099.684,2640,8.7,2.0,9.0,75,54,40,1041,3546.373688458434,4120.979182156134,2472.978703703704,1.867421097215227,2.755516988186768,1.220000217082684,4130,47,903,3961.731450719823,-2.445925456941489,50.2,0.3619052380930049,65113,4.327686705909972,52029,39148,18.4823222002483,13084,,,,,,
1999,2100,0,0,,1992,15.0,4.0,,,5.024,10494,18.2,95.9,,9.0,9.1,,6.156918212829686,176,158,1.697098689369341,,,,,,,43.8,,,,,,,,136,3157,23.21323529411765,,,1854.552,3387,7.3,1.7,7.3,492,284,37,1587,4009.003347168295,5133.649431321085,2837.945249157329,1.946086539117498,3.278946863458998,3.67915574595008,7469,43.7,448,4592.623139880952,-3.684185296362641,47.5,0.3866387928086618,107531,-7.442586618662006,95115,38201,4.236121487457445,12416,,,,,,
1999,8900,0,4,,1996,15.0,2.0,,,29.315,4596,21.9,,,11.2,10.6,,28.54627183836137,-5,,2.836979534227254,,,,,,,,,,,,,,,176,5315,30.19886363636364,,,1539.55,2973,10.1,2.2,12.4,468,358,33,3590,2883.217381078379,3281.765658241852,1992.170804794521,-1.3523129623354,-1.654148554139279,5.064209443498568,5669,54.7,576,4848.576967592592,6.239443439763015,37.2,0.3131963395678972,78526,-1.417778213878851,63572,47646,18.71477687272895,14954,,,,,,
1999,2660,0,6,,1986,17.0,6.0,,,10.792,7615,31.1,98.5,,15.4,15.6,,14.51202308952054,48,153,1.598875228877844,,,,,,,17,,,,,,,,265,7503,28.31320754716981,,,4474.69,7299,6.8,1.9,6.4,781,353,38,2356,5435.732605635573,7268.707270029674,3541.199675407657,-0.1502117846258866,2.516823365661347,-1.066784804098775,13261,38.2,943,6686.333951926475,4.561898019967336,34.9,0.4578879152010832,189567,28.71473535921234,155798,60958,5.603912739478933,33769,,,,,,
1999,9400,0,6,,1995,15.0,7.0,,,4.361,7549,20.6,98.9,,10.1,10.5,,10.95284872298625,319,91,2.643237592712438,,,,,,,16.5,,,,,,,,169,5097,30.15976331360947,,,2772.62,5677,6.9,3.0,8.4,402,167,38,446,5767.198982282219,7395.6124609264,4172.101687543493,2.447590144946155,3.521837042356579,3.37818613724119,9482,33.3,801,6836.936225551394,-0.5723979079522823,34.5,0.4380194426244061,113362,-4.792632168187938,94362,19164,2.105992029722614,19000,,,,,,
1999,3000,1,5,,1877,31.0,5.0,,,126.295,11957,646.3,67.6,,320.8,325.5,,23.27772565018645,-2512,"4,979",1.985008679185711,,,,,,,5,,,,,,,,5025,135883,27.04139303482587,,,57437.517,106310,7.2,2.9,13.9,4132,2102,39,23758,4983.182434510491,5781.768648590676,4087.251272560416,0.2518463229558732,0.6522752744577476,0.1251615588192534,173412,39.9,16638,5859.699958929358,0.5514130415572804,51.9,0.4800880582388365,2524367,-4.297103053333395,1992972,773843,2.353801340686745,531395,,,,,,
1999,6900,1,6,,1963,21.0,8.0,,,14.142,9003,73.8,97.1,,35.9,37.9,,8.039499003622568,960,854,2.178395958757179,,,,,,,6.8,,,,,,,,554,16830,30.37906137184115,,,9611.5,20608,6,2.8,8.2,932,439,41,1729,6128.940100071826,8043.13489657632,4290.578799901054,1.891250767173092,3.052772135555371,2.822881401084421,34342,34.6,2585,7984.573791102514,-0.7663485000624637,31.1,0.4620939423284758,321016,-0.7754325638601345,287090,93562,-1.282827347946636,33926,,,,,,
1999,1139,0,4,,1984,17.0,6.0,,,18.967,8810,39.8,90.7,,19.2,20.6,,7.941734784798358,1907,"1,286",5.915350667304736,,,,,,,8.2,,,,,,,,289,8113,28.07266435986159,,,5674.443,7839,6.2,2.1,9.1,1055,504,39,2776,4747.334551562471,6013.894199883194,3451.68957469848,0.6955617653310098,0.5069926602732755,2.88557316467406,18059,37.3,790,5951.741455696202,7.008025873194335,41,0.3945240036669658,196826,-3.72550869113708,148002,51640,1.468574883690366,48824,,,,,,
1999,7000,1,6,,1877,19.0,4.0,,,12.34,9064,63.3,76.9,,31.0,32.3,,18.03966315248136,1165,"1,063",3.736940359610898,,,,,,,8.1,,,,,,,,476,13103,27.52731092436975,,,5763.1,15974,5.6,1.4,4.5,1384,676,39,5661,4399.519462974455,5448.67706377858,3181.919934640523,3.166513533043025,-13.97033065552557,5.666761243582386,25784,38.8,1420,4573.556690140845,-2.313420836707814,49.8,0.3699838434386573,270902,11.07577268394906,240756,89885,-0.1612348572967104,30146,,,,,,
1999,874,0,4,,1988,17.0,4.0,,,8.849,8929,23.5,96.1,,11.6,11.9,,11.8130457113508,42,306,1.35263203239424,,,,,,,49.2,,,,,,,,247,5821,23.5668016194332,,,3189.298,4288,6.5,1.1,4.9,651,335,37,2615,4004.910399159664,5154.063127563287,2877.755600638091,0.7350274759906794,3.099366800075831,-0.3896969471905876,9520,42.4,408,4854.190767973856,-1.127220110310811,46.8,0.3744136051256842,123495,6.762479569502422,103433,57475,6.389169899034042,20062,,,,,,
1999,3616,0,3,,1991,13.0,7.0,,,34.514,11092,23.8,97.9,,11.8,12.0,,21.58648725027717,1095,165,7.086295329793927,,,,,,,4.7,,,,,,,,177,5203,29.3954802259887,,,2653.22,4950,6.8,,,329,145,38,355,5564.750995338901,7044.610329555816,4102.604263191763,-0.1956540510199556,-0.1540033648216532,-0.1689173647949627,10298,28.2,603,5928.755527915976,4.80725255640142,37,0.3599895272233476,151456,15.48609201457472,103481,50267,10.19958438838504,47975,,,,,,
1999,1063,0,4,,1996,15.0,5.0,,,6.77,6151,18.9,71.7,,9.5,9.5,,12.9915635697151,467,455,3.868769577402873,,,,,,,8.7,,,,,,,,169,4489,26.56213017751479,,,2244.91,3258,7.3,1.1,5.2,584,287,38,1588,3944.327347340775,4900.073892029163,2847.617620793382,4.707500282473731,5.086493287200988,5.330389781927258,7615,42,374,6270.308377896613,14.18539696861991,40.9,0.3609638039461108,133935,1.306278025725449,97526,65110,-3.073206093606373,36409,,,,,,
1999,9100,1,4,,1961,17.0,6.0,,,9.386,7159,42.8,94.8,,20.7,22.1,,7.7167282974448,1159,710,3.646754001501321,,,,,,,12.8,,,,,,,,299,8422,28.16722408026756,,,6264.743,9637,6.3,2.7,9.5,908,465,38,2968,5226.782413912742,6673.380902360945,3658.26104602813,3.67962779929274,4.531631699376848,4.606266035188722,19215,35.5,1295,8115.146782496782,5.067961913867092,35.8,0.4205657458142782,227997,-8.010532125727055,160307,53093,1.695913874921362,67690,,,,,,
