year,auth_id,cumulative_deficit
2013,831,-13664.0
2014,831,-10235.0
2015,831,-14781.0
2016,831,-11108.0
2017,831,-7414.0
2018,831,-6.908
2019,831,-6.347
2020,831,-6.297
2021,831,-6.253
2022,831,-6.304
1999,874,
2000,874,
2001,874,
2002,874,
2003,874,-27046.0
2004,874,-36255.0
2005,874,-33897.0
2006,874,
2007,874,-16778.0
2008,874,
2009,874,-12406.0
2010,874,-9635.0
2011,874,-8635.0
2012,874,-9122.0
2013,874,-13804.0
2014,874,-20602.0
2015,874,-18759.0
2016,874,-20836.0
2017,874,-21482.0
2018,874,-20.084
2019,874,-20.441
2020,874,-19.884
2021,874,-19.181
2022,874,-18.947
1999,922,
2000,922,
2001,922,
2002,922,-2048.0
2003,922,-2499.0
2004,922,-5169.0
2005,922,-5164.0
2006,922,
2007,922,-2490.0
2008,922,
2009,922,-2476.0
2010,922,-2473.0
2011,922,-5012.0
2012,922,-8557.0
2013,922,-7067.0
2014,922,-6976.0
2015,922,-10282.0
2016,922,-10043.0
2017,922,-10184.0
2018,922,-9.534
2019,922,-10.661
2020,922,-10.724
2021,922,-10.745
2022,922,-13.905
1999,1015,
2000,1015,
2001,1015,
2002,1015,-44214.0
2003,1015,-57027.0
2004,1015,-50565.0
2005,1015,-42534.0
2006,1015,
2007,1015,-40027.0
2008,1015,
2009,1015,-28001.0
2010,1015,-32042.0
2011,1015,-35076.0
2012,1015,-38852.0
2013,1015,-35641.0
2014,1015,-27584.0
2015,1015,-27539.0
2016,1015,-27255.0
2017,1015,-27209.0
2018,1015,-21.486
2019,1015,-21.432
2020,1015,-21.413
2021,1015,-15.356
2022,1015,-15.261
1999,1020,
2000,1020,
2001,1020,
2002,1020,
2003,1020,-32958.0
2004,1020,-39079.0
2005,1020,-34032.0
2006,1020,
2007,1020,-23580.0
2008,1020,
2009,1020,-19623.0
2010,1020,-26059.0
2011,1020,-34773.0
2012,1020,-32220.0
2013,1020,-43652.0
2014,1020,-42753.0
2015,1020,-42760.0
2016,1020,-31328.0
2017,1020,-26922.0
2018,1020,-36.946
2019,1020,-43.306
2020,1020,-49.547
2021,1020,-51.545
2022,1020,-55.371
1999,1031,
2000,1031,
2001,1031,
2002,1031,
2003,1031,-17500.0
2004,1031,-25932.0
2005,1031,-11448.0
2006,1031,
2007,1031,-14219.0
2008,1031,
2009,1031,-30666.0
2010,1031,-48039.0
2011,1031,-68368.0
2012,1031,-75827.0
2013,1031,-57951.0
2014,1031,-54454.0
2015,1031,-40620.0
2016,1031,-29327.0
2017,1031,-28418.0
2018,1031,-23.495
2019,1031,-23.485
2020,1031,-23.477
2021,1031,-23.47
2022,1031,-23.441
1999,1034,
1999,1034,
2000,1034,
2000,1034,
2001,1034,
2001,1034,
2002,1034,
2002,1034,
2003,1034,-56543.0
2003,1034,-56543.0
2004,1034,-67096.0
2004,1034,-67096.0
2005,1034,-51200.0
2005,1034,-51200.0
2006,1034,
2006,1034,
2007,1034,-26838.0
2007,1034,-26838.0
2008,1034,
2008,1034,
2009,1034,-19857.0
2009,1034,-19857.0
2010,1034,-29899.0
2010,1034,-29899.0
2011,1034,-35502.0
2011,1034,-35502.0
2012,1034,-44706.0
2012,1034,-44706.0
2013,1034,-55138.0
2013,1034,-55138.0
2014,1034,-51348.0
2014,1034,-51348.0
2015,1034,-41452.0
2015,1034,-41452.0
2016,1034,-35802.0
2016,1034,-35802.0
2017,1034,-25640.0
2017,1034,-25640.0
2018,1034,-25.637
2018,1034,-25.637
2019,1034,-21.552
2019,1034,-21.552
2020,1034,-21.15
2020,1034,-21.15
2021,1034,-21.831
2021,1034,-21.831
2022,1034,-20.002
2022,1034,-20.002
1999,1061,
2000,1061,
2001,1061,717.0
2002,1061,
2003,1061,-1155.0
2004,1061,-304.0
2005,1061,-76.0
2006,1061,
2007,1061,966.0
2008,1061,
2009,1061,1614.0
2010,1061,1657.0
2011,1061,1746.0
2012,1061,1446.0
2013,1061,-12520.0
2014,1061,-23664.0
2015,1061,-20778.0
2016,1061,-20761.0
2017,1061,-20717.0
2018,1061,-20.682
2019,1061,-20.578
2020,1061,-20.534
2021,1061,-19.51
2022,1061,-19.357
1999,1063,
2000,1063,
2001,1063,
2002,1063,
2003,1063,-19390.0
2004,1063,-18700.0
2005,1063,-12064.0
2006,1063,
2007,1063,-20343.0
2008,1063,
2009,1063,-17095.0
2010,1063,-27929.0
2011,1063,-34614.0
2012,1063,-18982.0
2013,1063,-11058.0
2014,1063,-10881.0
2015,1063,-10244.0
2016,1063,-9800.0
2017,1063,-9678.0
2018,1063,-11.75
2019,1063,-24.385
2020,1063,-28.637
2021,1063,-24.027
2022,1063,-23.933
1999,1066,
2000,1066,
2001,1066,
2002,1066,2528.0
2003,1066,
2004,1066,
2005,1066,525.0
2006,1066,
2007,1066,344.0
2008,1066,
2009,1066,-568.0
2010,1066,-2385.0
2011,1066,-3501.0
2012,1066,-3169.0
2013,1066,-2203.0
2014,1066,-2097.0
2015,1066,-1243.0
2016,1066,-1227.0
2017,1066,-2537.0
2018,1066,-7.229
2019,1066,-8.736
2020,1066,-8.508
2021,1066,-4.662
2022,1066,-4.642
1999,1137,
2000,1137,496.0
2001,1137,
2002,1137,-3936.0
2003,1137,-3832.0
2004,1137,-2054.0
2005,1137,-1171.0
2006,1137,-991.0
2007,1137,-810.0
2008,1137,-670.0
2009,1137,-363.0
2010,1137,-331.0
2011,1137,-301.0
2012,1137,-300.0
2013,1137,-726.0
2014,1137,-2803.0
2015,1137,-7041.0
2016,1137,-6936.0
2017,1137,-8801.0
2018,1137,-9.396
2019,1137,-6.247
2020,1137,-6.106
2021,1137,-2.087
2022,1137,-2.026
1999,1139,
2000,1139,
2001,1139,
2002,1139,
2003,1139,
2004,1139,
2005,1139,3689.0
2006,1139,
2007,1139,5249.0
2008,1139,
2009,1139,9148.0
2010,1139,9266.0
2011,1139,11077.0
2012,1139,11690.0
2013,1139,9360.0
2014,1139,8364.0
2015,1139,7401.0
2016,1139,4459.0
2017,1139,1505.0
2018,1139,1.207
2019,1139,0.182
2020,1139,0.59
2021,1139,0.881
2022,1139,1.267
1999,1200,
2000,1200,
2001,1200,
2002,1200,
2003,1200,-20077.0
2004,1200,-18912.0
2005,1200,-14645.0
2006,1200,
2007,1200,-11595.0
2008,1200,
2009,1200,-16455.0
2010,1200,-18171.0
2011,1200,-16395.0
2012,1200,-14525.0
2013,1200,-12724.0
2014,1200,-11516.0
2015,1200,-10365.0
2016,1200,-8864.0
2017,1200,-7318.0
2018,1200,5.547
2019,1200,5.759
2020,1200,5.871
2021,1200,4.743
2022,1200,6.939
1999,1224,
2000,1224,
2001,1224,43.0
2002,1224,180.0
2003,1224,-3447.0
2004,1224,-12656.0
2005,1224,-6177.0
2006,1224,
2007,1224,-4337.0
2008,1224,
2009,1224,-2164.0
2010,1224,-7841.0
2011,1224,-6261.0
2012,1224,-6454.0
2013,1224,-6555.0
2014,1224,-6667.0
2015,1224,-6277.0
2016,1224,-5632.0
2017,1224,-5525.0
2018,1224,-5.293
2019,1224,-5.21
2020,1224,-3.78
2021,1224,0.158
2022,1224,1.691
1999,1247,
2000,1247,
2001,1247,
2002,1247,-6577.0
2003,1247,-10681.0
2004,1247,-14614.0
2005,1247,-18188.0
2006,1247,
2007,1247,-14338.0
2008,1247,
2009,1247,-5069.0
2010,1247,-4013.0
2011,1247,-3441.0
2012,1247,
2013,1247,
2014,1247,
2015,1247,-4474.0
2016,1247,10883.0
2017,1247,8453.0
2018,1247,20.789
2019,1247,41.128
2020,1247,
2021,1247,0.0
2022,1247,8.363
1999,1263,
2000,1263,220.0
2001,1263,
2002,1263,-1633.0
2003,1263,-3032.0
2004,1263,-3135.0
2005,1263,-3731.0
2006,1263,
2007,1263,-3030.0
2008,1263,
2009,1263,-3092.0
2010,1263,-3181.0
2011,1263,-3711.0
2012,1263,-4445.0
2013,1263,-4836.0
2014,1263,-5225.0
2015,1263,-4223.0
2016,1263,-4400.0
2017,1263,-4376.0
2018,1263,-4.362
2019,1263,-4.539
2020,1263,-4.852
2021,1263,-5.012
2022,1263,-5.309
1999,1268,
2000,1268,
2001,1268,
2002,1268,-1452.0
2003,1268,-1571.0
2004,1268,-144.0
2005,1268,-225.0
2006,1268,-210.0
