שם הרשות,שנה,סמל הרשות,מחוז,מרחק מגבול מחוז תל אביב,שנת קבלת מעמד מוניציפלי,מספר חברי מועצה,רמה חברתית-כלכלית (10 הגבוה ביותר),"סה""כ אוכלוסייה בסוף (אלפים)",יהודים ואחרים (אחוז),ערבים (אחוז),"סה""כ גברים בסוף (אלפים)","סה""כ נשים בסוף (אלפים)",יחס תלות (אחוזים),ריבוי טבעי לאלף תושבים,"מאזן הגירה - סה""כ",אחוז עולי 1990+ מסך האוכלוסייה,אחוז גידול האוכלוסייה,"נכנסים מיישובים אחרים - סה""כ",נכנסים מיישובים אחרים - גברים,נכנסים מיישובים אחרים - נשים,נכנסים מיישובים אחרים - גיל 29-15,"יוצאים ליישובים אחרים - סה""כ",יוצאים ליישובים אחרים - גברים,יוצאים ליישובים אחרים - נשים,יוצאים ליישובים אחרים - גיל 29-15,"מקבלי דמי אבטלה - סה""כ (ממוצע חודשי)",מקבלי דמי אבטלה - גברים,גיל ממוצע של מקבלי דמי אבטלה (לא כולל חיילים),"מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה)","שכר חודשי ממוצע של שכיר במשך השנה (ש""ח)","שכר חודשי ממוצע של גברים שכירים במשך השנה (ש""ח)","שכר חודשי ממוצע של נשים שכירות במשך השנה (ש""ח)",אחוז שינוי ראלי שנה קודמת של שכר חודשי ממוצע של שכיר במשך השנה,אחוז שינוי ראלי שנה קודמת של שכר חודשי ממוצע של גברים שכירים במשך השנה,אחוז שינוי ראלי שנה קודמת של שכר חודשי ממוצע של נשים שכירות במשך השנה,מספר השכירים,אחוז השכירים המשתכרים עד שכר מינימום,מספר העצמאים,"הכנסה חודשית ממוצעת של עצמאי במשך השנה (ש""ח)",אחוז שינוי ראלי של הכנסה חודשית ממוצעת של עצמאי במשך השנה,אחוז העצמאים המשתכרים עד מחצית השכר הממוצע,"מדד אי-השוויון - שכירים (מדד ג'יני, 0 שוויון מלא)","בתי ספר - סה""כ -","כיתות - סה""כ","תלמידים - סה""כ","ממוצע תלמידים לכיתה - סה""כ",אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,"תקבולי מים (אלפי מ""ק)","התחלה של סלילת כבישים חדשים, הרחבה ושיקום של כבישים - אורך (ק""מ)","התחלה של סלילת כבישים חדשים, הרחבה ושיקום של כבישים - שטח (אלפי מ""ר)","התחלה של הנחת צינורות מים (ק""מ)","התחלה של הנחת צינורות ביוב (ק""מ)","התחלה של הנחת צינורות תיעול (ק""מ)","גמר של סלילת כבישים חדשים, הרחבה ושיקום של כבישים - אורך (ק""מ)","גמר של סלילת כבישים חדשים, הרחבה ושיקום של כבישים - שטח (אלפי מ""ר)","גמר של הנחת צינורות מים (ק""מ)","גמר של הנחת צינורות ביוב (ק""מ)","גמר של הנחת צינורות תיעול (ק""מ)","מכוניות פרטיות - סה""כ",גיל ממוצע של רכב פרטי (שנים),"תאונות דרכים עם נפגעים - שיעור ל-1,000 תושבים","תאונות דרכים עם נפגעים - שיעור ל-1,000 כלי רכב","מדד קומפקטיות אשכול (מ-1 עד 10, 1 הגבוה ביותר)",אשכול פריפריאליות,מדדים סובייקטיביים - שביעות רצון משירות שקיבלו מהעירייה- מרוצים - סך הכל (באחוזים),מדדים סובייקטיביים - שביעות רצון מתפקוד העירייה - מרוצים - סך הכל (באחוזים),מדדים סובייקטיביים - שביעות רצון כללית מאזור המגורים - מרוצים - סך הכל (באחוזים),מדדים סובייקטיביים - שביעות רצון מהניקיון באזור המגורים - מרוצים - סך הכל (באחוזים),מדדים סובייקטיביים - שביעות רצון מפרקים ושטחים ירוקים באזור המגורים - מרוצים - סך הכל (באחוזים),"אחוז התושבים בני 20 ומעלה המרגישים ""בטוח"" ו""בטוח מאוד"" ללכת בחשכה באזור המגורים",פונים לרשות המקומית (אחוזים),"סך כולל הכנסות של הרשות (אלפי ש""ח)",סך כולל הכנסות של הרשות - אחוז שינוי ראלי,"סה""כ הכנסות של הרשות מן התקציב הרגיל (אלפי ש""ח)","סה""כ השתתפות הממשלה בהכנסות של הרשות (אלפי ש""ח)","סה""כ השתתפות הממשלה בהכנסות של הרשות - אחוז שינוי ראלי","סה""כ הכנסות של הרשות מתקציב בלתי רגיל (אלפי ש""ח)","סך כולל הוצאות של הרשות (אלפי ש""ח)",סך כולל הוצאות של הרשות - אחוז שינוי ראלי,"הוצאות של הרשות לפעולות (אלפי ש""ח)","הוצאות של הרשות לפירעון מלוות (אלפי ש""ח)","הוצאות מימון של הרשות (אלפי ש""ח)","סה""כ הוצאות של הרשות בתקציב בלתי רגיל (אלפי ש""ח)","עודף / גירעון בתקציב הרגיל - תקציבי (אלפי ש""ח)","עודף / גירעון בתקציב הרגיל - שנתי (אלפי ש""ח)","גירעון מצטבר בסוף שנה (אלפי ש""ח)","חיוב ארנונה סך הכל (שטח באלפי מ""ר) שנה קודמת","חיוב ארנונה למגורים (שטח באלפי מ""ר) שנה קודמת","חיוב ארנונה לעסקים (שטח באלפי מ""ר) שנה קודמת","חיוב ארנונה סך הכל (שטח באלפי מ""ר) שנה נוכחית","חיוב ארנונה למגורים (שטח באלפי מ""ר) שנה נוכחית","חיוב ארנונה לעסקים (שטח באלפי מ""ר) שנה נוכחית","סה""כ שטח שיפוט בקמ""ר",מגורים - אחוז משטח השיפוט,חינוך והשכלה - אחוז משטח השיפוט,בריאות ורווחה - אחוז משטח השיפוט,שירותים ציבוריים - אחוז משטח השיפוט,"תרבות, פנאי, נופש וספורט - אחוז משטח השיפוט",מסחר - אחוז משטח השיפוט,תעשייה ותשתיות - אחוז משטח השיפוט,תחבורה - אחוז משטח השיפוט,מבנים חקלאיים - אחוז משטח השיפוט,שטח פתוח ציבורי - אחוז משטח השיפוט,יער וחורש - אחוז משטח השיפוט,"מטעים, פרדסים ועצי זית - אחוז משטח השיפוט",שדות מעובדים - אחוז משטח השיפוט,שטח פתוח אחר - אחוז משטח השיפוט,"צפיפות אוכלוסייה לשטח בנוי למגורים (נפשות לקמ""ר)"
רמלה,2011,8500,המרכז,10.3,1877,17,4,68,77.8,22.2,35,32.9,737,14.2,,20.8,2.6," 1,755 ",855,900,526,"2,179","1,086","1,093",679,534,276,42,"2,570","5,621","6,681","4,492",2,3.3,-0.1,"28,155",40.7,"1,937","6,693",1.9,43.1,0.3469,42,551,"13,183",24,43.9,36.2,"4,756",-,-,0.2,-,-,0.6,8.4,0.2,-,-," 15,511 ",8.3,1.4,4.7,5,8,,,,,,,,"428,369",1,"372,372","139,102",2,"55,997","429,390",2.6,"94,568","20,172","2,327","58,879","1,861","1,861","-49,214","3,935.5","1,729.0",258.3,"3,944.0","1,766.0",352.0,,,,,,,,,,,,,,,,
רמת גן,2011,8600,תל אביב,0,1950,23,7,148,99.8,-,70.2,77.8,727,8.3,,10.4,1.5," 7,385 ","3,715","3,670","2,432","7,700","3,857","3,843","1,837","1,207",512,42,"1,239","9,169","11,209","7,308",3.2,2.8,2.8,"63,374",31.6,"5,727","10,013",-0.9,37.1,0.451,42,718,"19,401",27,75.6,71.5,"11,652",2.9,26.2,4.2,-,-,1.7,16.9,4.3,-,-," 45,238 ",6.7,1.9,4.8,7,10,,,,,,,,"1,142,612",1.5,"980,066","194,990",5.1,"162,546","1,099,263",-2.1,"300,103","45,668","3,162","151,637","32,440","32,440","3,723","9,844.0","4,981.2",703.5,"9,926.7","5,014.6",667.0,,,,,,,,,,,,,,,,
רמת השרון,2011,2650,תל אביב,0,1949,15,9,42,99.9,-,20.4,21.9,829,11.7,,4.4,2.3," 1,960 ",957,"1,003",315,"1,660",835,825,463,278,113,44,112,"12,573","16,312","8,973",6.6,7.7,3.7,"17,824",29.7,"2,136","11,909",-2.7,33.9,0.5245,15,306,"7,775",25,79.4,75.9,"5,432",-,-,-,-,0.7,-,-,-,-,0.7," 16,964 ",5.9,1.3,2.7,7,8,,,,,,,,"423,663",1,"334,168","68,092",29,"89,495","438,957",7.6,"85,736","12,810","2,602","102,283","-2,506","-2,506",817,"8,094.3","2,034.8",260.3,"7,846.9","2,105.8",288.1,,,,,,,,,,,,,,,,
רעננה,2011,8700,המרכז,2.4,1982,20,8,69,100,-,33.6,35.5,720,12.0,,15.9,0.3," 2,433 ","1,184","1,249",560,"3,647","1,804","1,843","1,055",514,234,45,229,"11,235","14,714","7,803",4.8,5.6,1.8,"30,696",32.7,"3,254","11,735",3.8,34.7,0.5039,33,495,"13,098",26,79,74.3,"6,472",-,-,1,-,-,-,-,-,-,-," 25,716 ",6.2,1.7,4.1,4,8,,,,,,,,"673,956",4.3,"573,856","114,625",5.9,"100,100","643,050",-4,"140,162","36,847","3,459","70,979","1,785","-3,715","1,963","9,075.3","3,300.2",377.3,"9,120.3","3,340.2",388.6,,,,,,,,,,,,,,,,
שדרות,2011,1031,הדרום,60.1,1996,13,4,21,99.5,-,10.7,10.4,706,15.1,,29.3,-0.1, 679 ,335,344,235,678,347,331,197,280,128,44,"1,463","5,537","6,804","4,176",2.5,4.6,-0.7,"9,488",43,481,"7,932",1.3,40.1,0.3591,12,138,"2,766",20,57.8,40.1,"2,307",0.7,8.7,0.9,0.9,0.1,0.7,8.7,0.9,0.3,0.1," 4,619 ",7.9,0.8,2.8,3,5,,,,,,,,"184,962",-20,"136,467","73,646",-8.4,"48,495","217,565",-16.7,"64,084","6,454","2,762","49,569","-31,529","-31,529","-68,368",972.9,596.1,78.8,982.7,606.9,77.5,,,,,,,,,,,,,,,,
שפרעם,2011,8800,הצפון,90.5,1887,15,3,38,-,100,18.9,18.8,873,15.5,,-,2.3, 341 ,123,218,154,269,86,183,128,249,177,42,"4,023","5,088","5,923","3,632",0.6,0.9,0.6,"11,634",47.8,"1,053","6,941",1,44.5,0.3644,24,346,"9,550",28,50.2,39.7,"2,945",0.3,3.5,1.2,-,0.3,0.1,0.5,-,-,-," 8,927 ",10.2,0.7,2.4,6,5,,,,,,,,"158,662",-6,"133,167","83,191",9.1,"25,495","155,895",-9,"29,988","5,944",592,"22,976",248,248,"-8,603","10,521.6","1,003.8",61.5,"10,704.9","1,049.9",68.6,,,,,,,,,,,,,,,,
תל אביב -יפו,2011,5000,תל אביב,0,1934,31,8,405,95.9,4.1,198.9,205.9,590,11.2,,12.3,0.1," 19,944 ","10,305","9,639","9,322","21,393","10,772","10,621","4,479","3,047","1,372",40,"8,036","9,128","11,115","7,139",4,5,2,"201,204",34.7,"21,060","9,997",-0.4,38.6,0.4865,151,"2,026","48,912",24,72.2,62.5,"44,308",3.9,48.3,7.8,8.1,1.1,1.3,7.3,14,11,3.1," 196,689 ",4.8,4.1,6.4,9,10,,,,,,,,"4,899,212",0,"3,994,619","486,278",-1.1,"904,593","4,848,456",-0.4,"794,535","267,942","177,728","867,749","13,912","13,912","-515,930","29,706.6","14,882.3","2,171.2","29,925.6","15,091.0","2,205.0",,,,,,,,,,,,,,,,
אבו גוש,2011,0472,ירושלים,41.6,1992,9,2,6,-,100,3.1,3.1,890,21.0,,-,2.9,100,51,49,30,58,25,33,14,27,22,43,393,"4,993","5,664","3,755",-0.7,1.3,-4.8,"2,037",45.9,122,"6,181",-3.6,55.7,0.3495,3,57,"1,423",25,..,..,380,,,,,,,,,,,"1,188",9.6,0.6,2.8,4,6,,,,,,,,"38,581",2.5,"30,420","17,569",16.5,"8,161","37,281",7.4,"6,798","2,101",115,"7,143",282,282,-617,245.5,201.8,11.1,250.9,209.4,11.1,,,,,,,,,,,,,,,,
אבו סנאן,2011,0473,הצפון,107.9,1964,11,3,13,-,100,6.5,6.4,867,13.8,,-,1.9,65,16,49,39,115,34,81,57,78,51,38,"1,258","4,918","5,799","3,483",4.9,5.3,3.5,"3,657",52,409,"6,035",1.0,54.3,0.3722,6,116,"2,941",26,38.2,31.9,844,,,,,,,,,,,"2,709",10.2,0.5,1.8,3,4,,,,,,,,"60,710",-4.9,"54,035","39,007",1.1,"6,675","58,184",-7.2,"8,250","3,206",487,"6,913","2,764","2,764","-4,128","4,117.3",313.7,0.7,"4,117.7",387.3,4.4,,,,,,,,,,,,,,,,
אבן יהודה,2011,0182,המרכז,14.4,1950,9,8,12,99.9,-,5.8,6.1,770,13.9,,4.5,6.5,742,375,367,99,386,195,191,121,85,42,42,39,"11,901","15,579","8,251",5.8,6.7,3.0,"5,197",29.5,595,"10,979",5.1,34.8,0.4965,4,101,"2,949",29,77.8,74.5,"1,323",,,,,,,,,,,"4,426",6.3,1.7,3.6,5,7,,,,,,,,"83,329",-1.5,"58,148","8,879",0.2,"25,181","90,670",29,"21,973","7,884",393,"32,559",37,37,341,"3,717.3",537.9,29.7,"3,761.3",585.5,28.5,,,,,,,,,,,,,,,,
אורנית,2011,3760,אזור יהודה והשומרון,15.1,1990,9,8,7,99.9,-,3.4,3.2,707,16.1,,3.3,6.4,469,246,223,71,263,129,134,102,61,29,43,..,"10,894","13,733","8,148",4.8,5.2,5.1,"3,274",28.8,377,"9,045",-0.5,37.9,0.4403,..,32,1019,32,87.2,76.1,541,,,,,,,,,,,"2,437",6.7,0.6,1.4,2,7,,,,,,,,"60,457",35.4,"40,733","15,684",5.3,"19,724","47,103",3.6,"20,667",606,226,"6,376",6,6,-745,463.5,295.0,5.0,494.6,304.9,4.8,,,,,,,,,,,,,,,,
אזור,2011,0565,תל אביב,0,1951,11,6,12,99.9,-,5.7,5.9,681,14.9,,9.5,3.4,620,306,314,171,537,254,283,141,82,43,45,117,"7,686","9,211","6,246",2.0,1.4,2.1,"5,181",33,522,"9,954",4.6,32.2,0.4051,4,41,"1,004",24,67.2,49.2,"1,316",,,,,,,,,,,"4,098",6.7,1.3,2.6,3,9,,,,,,,,"63,965",2.1,"59,115","10,379",3.4,"4,850","64,546",2.3,"15,425","2,826",480,"5,474",43,43,"-2,912",732.0,436.0,58.0,743.0,455.0,56.0,,,,,,,,,,,,,,,,
אכסאל,2011,0478,הצפון,85.1,-,11,2,13,-,100,6.5,6.2,995,19.8,,-,2.3,62,12,50,34,94,33,61,44,40,31,41,"1,037","5,034","5,859","3,207",1.8,2.1,1.7,"3,529",50.2,473,"8,106",2.5,31.1,0.3866,9,134,"3,480",26,54.3,43.4,847,,,,,,,,,,,"2,741",10.2,0.7,2.5,2,5,,,,,,,,"52,418",-6.8,"48,336","35,306",9.6,"4,082","49,455",-11.8,"13,379","1,661",250,"3,409","2,290","2,290",-481,655.6,302.7,10.9,662.9,308.5,10.1,,,,,,,,,,,,,,,,
אליכין,2011,0041,המרכז,30.3,1977,7,5,3,99.9,-,1.5,1.6,833,14.3,,2.2,1.5,153,76,77,32,136,70,66,25,22,7,42,45,"7,280","8,938","5,837",3.4,6.6,-0.1,"1,377",36.7,144,"7,673",-3.5,41,0.4025,..,6,151,25,66,64.2,316,,,,,,,,,,,984,8.3,-,-,1,6,,,,,,,,"24,880",0.1,"21,412","10,667",15.1,"3,468","24,321",-0.8,"8,440","1,392",89,"2,942",33,33,-29,133.8,130.0,-,152.5,149.4,-,,,,,,,,,,,,,,,,
אלפי מנשה,2011,3750,אזור יהודה והשומרון,18.7,1987,9,8,7,100,-,3.8,3.6,689,16.1,,6.3,4.9,374,186,188,77,275,149,126,63,67,28,44,..,"10,003","12,598","7,568",3.8,4.6,3.1,"3,551",26.9,389,"9,318",9.7,37,0.4120,3,41,"1,231",30,77.3,68,626,,,,,,,,,,,"2,660",7.1,0.8,1.9,5,7,,,,,,,,"51,129",-15.5,"46,794","18,065",-0.2,"4,335","55,982",-14.9,"23,101","1,249",410,"4,465","-4,723","-4,723","-5,847",347.3,306.5,3.7,364.5,318.9,4.5,,,,,,,,,,,,,,,,
אלקנה,2011,3560,אזור יהודה והשומרון,17.4,1981,9,8,4,100,-,1.8,2,833,22.4,,3.4,4.4,222,108,114,80,172,85,87,71,25,11,42,..,"10,107","13,638","6,770",2.8,4.8,0.3,"1,560",36.1,106,"11,921",7.9,32.1,0.4659,3,43,"1,345",31,88.6,84.1,343,,,,,,,,,,,"1,145",6.8,-,-,3,7,,,,,,,,"29,537",6.1,"25,988","14,555",1.8,"3,549","29,094",2.6,"14,577","1,110",148,"3,103",-3,-3,"-1,647",164.0,133.4,4.0,179.4,138.4,4.2,,,,,,,,,,,,,,,,
אעבלין,2011,0529,הצפון,93.9,1960,12,3,12,-,100,5.9,6,867,17.4,,-,2.2,63,12,51,36,91,30,61,53,74,52,41,"1,156","4,806","5,478","3,571",2.5,4.2,-2.2,"3,666",48.2,367,"5,858",4.7,52.3,0.3404,8,140,"3,851",28,58.2,50.3,999,,,,,,,,,,,"2,656",10.4,0.2,0.6,3,5,,,,,,,,"45,949",-6.1,"42,883","27,649",6,"3,066","44,475",-9.7,"5,019","3,291","1,462","2,865","1,273","1,273","-3,876","3,373.8",292.4,31.0,"3,188.4",307.4,30.7,,,,,,,,,,,,,,,,
אפרתה,2011,3650,אזור יהודה והשומרון,67.1,1983,9,7,8,100,-,4,3.7,"1,028",24.7,,20.1,3.1,342,166,176,112,455,230,225,188,30,16,43,27,"8,644","11,368","5,998",5.0,3.1,5.8,"3,202",39.9,259,"11,287",2.6,37.8,0.4643,5,122,"2,781",23,77.2,73.4,573,,,,,,,,,,,"1,965",7.4,0.7,2.2,9,5,,,,,,,,"73,066",15.8,"60,819","33,030",7.4,"12,247","70,368",12.6,"27,615","2,148",199,"9,511",-38,-38,"-1,457",348.9,313.2,6.4,351.5,318.4,8.3,,,,,,,,,,,,,,,,
באר יעקב,2011,2530,המרכז,8.9,1949,9,6,15,99.1,-,7.6,7,864,23.6,,12.2,22.2,"2,369","1,185","1,184",383,426,209,217,110,98,48,41,213,"8,476","10,577","6,519",6.4,6.3,4.9,"6,243",28.7,483,"8,362",-1.6,36.6,0.3865,11,130,"3,210",25,47.9,34.4,"1,187",,,,,,,,,,,"3,920",7.3,0.7,2,8,8,,,,,,,,"169,115",12.6,"109,574","13,489",7.3,"59,541","169,579",-3.6,"34,995","8,629","1,094","60,159",154,154,"-13,359","1,489.0",371.0,61.3,"1,587.6",435.2,63.0,,,,,,,,,,,,,,,,
בועיינה-נוג'ידאת,2011,0482,הצפון,107.7,1980,9,2,8,-,100,4.3,4,999,20.8,,-,2.1,63,21,42,26,53,11,42,24,53,35,38,"1,190","4,369","5,142","2,849",4.7,7.4,-2.0,"2,493",55.3,167,"6,111",-9.7,47.9,0.3343,5,96,"2,497",26,50.6,31.7,332,,,,,,,,,,,"1,594",9.7,0.2,1,3,4,,,,,,,,"45,363",1.5,"40,466","31,654",6.1,"4,897","42,123",-4.3,"4,402","2,322",260,"3,311","1,654","1,654","3,071",227.0,211.0,6.0,240.3,219.3,5.8,,,,,,,,,,,,,,,,
בוקעאתא,2011,4001,הצפון,179.9,1982,7,2,6,-,100,3,2.9,814,14.3,,..,1.0,13,..,11,10,19,4,15,10,34,25,40,648,"3,996","4,843","2,210",-1.0,0.0,-1.3,"1,742",62.8,210,"4,324",-2.3,61.9,0.3763,3,41,"1,108",27,53.8,25.6,422,,,,,,,,,,,"1,114",10.8,-,-,3,2,,,,,,,,"36,328",11,"32,243","16,803",7.4,"4,085","36,757",12.6,"15,334",505,98,"4,039",-475,-475,208,"4,388.3",167.8,8.2,"4,377.7",159.4,8.3,,,,,,,,,,,,,,,,
ביר אל-מכסור,2011,0998,הצפון,87.9,1990,10,2,8,-,100,4,3.9,979,24.9,,-,1.9,19,6,13,13,54,16,38,24,70,49,41,654,"4,360","5,290","2,319",3.1,3.2,-6.9,"2,442",53.5,120,"6,783",-0.7,50,0.3129,4,75,"2,103",28,45.3,29.9,477,,,,,,,,,,,"1,674",11.0,0.1,0.5,7,5,,,,,,,,"42,594",1.4,"36,281","28,900",2.3,"6,313","40,437",-5.7,"6,205","1,954",428,"4,327",171,171,"-3,028",155.1,152.4,0.6,187.0,184.1,1.0,,,,,,,,,,,,,,,,
בית אל,2011,3574,אזור יהודה והשומרון,63.6,1997,9,5,6,100,-,3,2.8,"1,682",37.4,,8.1,3.2,198,101,97,98,301,154,147,127,25,12,41,45,"5,911","7,726","4,225",1.8,6.2,-5.3,"1,971",50.3,107,"7,494",0.0,52.3,0.4680,6,89,"2,141",24,67.7,50,348,,,,,,,,,,,825,9.0,0.5,2.8,1,5,,,,,,,,"57,235",0.3,"45,289","29,274",0,"11,946","52,106",-10.4,"19,858","1,781",233,"6,477",-340,-340,-708,192.4,136.6,2.9,201.0,141.9,2.8,,,,,,,,,,,,,,,,
בית אריה,2011,3652,אזור יהודה והשומרון,20.4,1989,9,7,4,100,-,2,2,747,19.3,,4,3.8,213,111,102,38,198,100,98,45,39,14,43,..,"9,066","11,661","6,682",5.2,6.0,2.7,"1,878",27.7,183,"8,086",2.5,37.2,0.3894,..,22,668,30,65.2,56.1,332,,,,,,,,,,,"1,334",7.9,-,-,7,6,,,,,,,,"45,473",26.6,"33,481","17,004",1.1,"11,992","45,336",27.4,"16,529","1,301",202,"12,181",326,326,-653,166.1,138.2,1.3,177.9,147.2,1.2,,,,,,,,,,,,,,,,
בית ג'ן,2011,0480,הצפון,126.8,1964,0,2,11,-,100,5.4,5.4,810,15.2,,..,1.6,59,19,40,26,73,20,53,33,59,25,40,450,"4,726","6,720","2,674",6.4,6.9,0.9,"3,502",61.9,269,"5,138",7.3,63.6,0.4350,4,88,"2,485",28,73.4,40.7,739,,,,,,,,,,,"2,176",9.7,-,-,3,4,,,,,,,,"67,004",9.5,"56,725","43,380",5.7,"10,279","66,689",0.2,"11,111","3,844","2,717","9,975",11,11,"-39,436",268.8,207.4,15.0,271.1,208.4,15.5,,,,,,,,,,,,,,,,
בית דגן,2011,0466,המרכז,2.4,1953,9,7,7,99.9,-,3.5,3.5,774,12.4,,3.4,1.1,241,120,121,46,272,131,141,69,44,18,45,82,"8,469","10,454","6,583",3.2,2.5,2.0,"2,855",34.8,303,"8,775",-8.2,36,0.4321,..,22,617,28,64,56,522,,,,,,,,,,,"2,294",7.0,1,2.3,3,8,,,,,,,,"36,581",-4.7,"33,047","8,892",-3.2,"3,534","37,071",2.9,"11,570",939,248,"5,246","1,222","1,222",-592,563.3,261.1,32.6,565.4,262.4,33.6,,,,,,,,,,,,,,,,
"בני עי""ש",2011,1066,המרכז,25.2,1981,9,5,7,99.5,-,3.4,3.6,741,5.0,,50.1,0.4,237,119,118,59,257,119,138,79,81,38,44,191,"6,107","7,390","4,881",0.7,3.6,-3.5,"3,510",37,156,"6,440",-0.5,52.6,0.3543,..,19,447,24,45.3,37.3,390,,,,,,,,,,,"2,270",7.1,0.4,1.2,1,7,,,,,,,,"29,623",-1.4,"28,448","16,346",6.8,"1,175","31,671",-3.5,"10,689",830,155,"1,607","-1,616","-1,616","-3,501",351.7,188.2,3.3,362.7,189.0,3.4,,,,,,,,,,,,,,,,
בנימינה-גבעת עדה*,2011,9800,חיפה,44.1,1950,9,8,14,99.8,-,6.7,6.8,850,14.4,,5.9,4.7,681,337,344,114,469,225,244,128,103,46,42,130,"11,733","15,859","7,612",7.3,8.8,2.9,"5,293",29.8,617,"9,929",0.9,38.1,0.4842,7,108,"3,122",29,57.8,53.2,"1,907",,,,,,,,,,,"3,830",7.1,0.6,1.8,9,6,,,,,,,,"90,706",-1.3,"68,116","19,240",3.8,"22,590","91,530",0,"28,345","3,598",754,"19,639","-3,775","-3,775","-23,663","18,353.2",472.8,30.4,"18,219.7",488.2,30.7,,,,,,,,,,,,,,,,
"בסמ""ה",2011,1326,חיפה,53.2,1996,9,2,8,-,100,4.2,3.9,"1,081",27.0,,-,1.0,83,21,62,37,84,26,58,40,49,37,40,716,"4,544","5,159","3,104",0.4,0.4,1.7,"2,573",52.6,213,"5,782",13.8,48.4,0.3351,7,107,"2,906",27,59.3,44.7,22,,,,,,,,,,,"1,802",10.7,0.1,0.5,10,6,,,,,,,,"31,636",-16.3,"29,539","22,680",0.8,"2,097","31,256",-16.2,"7,671","2,565",301,"1,878",161,161,"-4,330",192.7,187.1,3.5,196.4,190.8,3.6,,,,,,,,,,,,,,,,
בסמת טבעון,2011,0944,הצפון,79.5,1965,9,2,7,-,100,3.5,3.6,948,19.7,,-,1.4,51,21,30,20,67,19,48,35,38,28,39,515,"4,773","5,781","3,170",-5.9,3.5,-26.2,"2,254",49.3,153,"6,609",6.6,49,0.3490,4,59,"1,563",26,35.7,24.3,484,,,,,,,,,,,"1,462",10.6,-,-,8,5,,,,,,,,"30,802",-22.2,"28,235","22,899",3.5,"2,567","35,689",-6.2,"10,336","2,287","1,583","3,069","-4,385","-4,385","-13,295",175.1,164.4,6.9,177.0,167.4,5.8,,,,,,,,,,,,,,,,
בענה,2011,0483,הצפון,..,,0,2,8,-,100,3.7,3.8,978,17.4,,-,6.3,74,17,57,36,35,15,20,16,26,16,41,590,"3,844","4,380","2,985",-0.1,2.4,-3.6,"2,148",60.7,195,"5,323",7.8,53.8,0.3466,5,75,"2,072",28,67.6,52.2,718,,,,,,,,,,,"1,477",10.8,0.1,0.5,.., .. ,,,,,,,,"30,069",17.4,"26,001","17,020",9.8,"4,068","28,123",14.5,"4,943","1,566",154,"3,305","1,183","1,183","-11,645","1,124.2",171.3,18.9,"1,116.5",172.7,17.1,,,,,,,,,,,,,,,,
גבעת זאב,2011,3730,אזור יהודה והשומרון,41.5,1984,9,5,13,99.9,-,6.3,6.3,783,28.2,,7,7.4,"1,163",585,578,375,621,312,309,238,85,42,39,105,"7,496","8,979","6,215",1.9,1.6,1.9,"5,442",38.6,398,"8,091",-7.2,36.4,0.4258,6,54,"1,198",22,54.4,48,"1,034",,,,,,,,,,,"3,729",7.3,0.6,1.6,9,6,,,,,,,,"73,166",5.9,"67,932","31,341",15.9,"5,234","71,503",7,"24,488","2,488",493,"4,205",634,634,"-4,138",636.0,390.0,11.7,646.0,423.1,12.4,,,,,,,,,,,,,,,,
ג'דיידה-מכר,2011,1292,הצפון,105.2,1989,11,2,19,-,100,9.5,9.5,950,14.0,,-,2.2,187,63,124,68,215,82,133,118,147,101,39,"3,095","4,459","5,130","3,336",-0.1,3.4,-7.9,"5,736",53.3,475,"5,649",5.3,52.4,0.3424,9,174,"4,822",28,64,50.7,"1,436",,,,,,,,,,,"3,851",10.4,1.2,5,5,4,,,,,,,,"84,254",-3.3,"71,841","52,116",7.1,"12,413","83,111",-1.9,"9,086","2,831",377,"11,565",295,295,"-4,326","8,174.2",516.3,22.6,"8,066.7",525.4,20.1,,,,,,,,,,,,,,,,
גדרה,2011,2550,המרכז,22.1,1949,11,6,24,99.5,-,11.8,12.6,981,18.4,,8.8,5.3,"1,326",663,663,211,726,346,380,170,172,68,40,385,"9,284","11,973","6,833",4.4,5.3,1.9,"8,922",30.8,728,"8,272",-3.5,41.1,0.4212,11,177,"4,954",28,57.3,46,"1,516",,,,,,,,,,,"6,331",7.4,1,3.3,4,7,,,,,,,,"144,029",-9.2,"105,233","35,081",4.1,"38,796","145,869",-9.1,"39,213","3,807","1,096","40,919",283,283,"-29,946",952.2,800.4,58.7,"1,007.7",866.0,59.0,,,,,,,,,,,,,,,,
ג'ולס,2011,0485,הצפון,107.7,1967,9,3,6,-,100,3,2.9,761,12.7,,..,1.9,21,7,14,19,22,10,12,11,45,19,38,264,"5,191","7,452","2,555",4.0,6.3,-2.7,"2,012",55.4,132,"4,847",10.2,59.8,0.4177,3,48,"1,286",27,37.9,31.6,457,,,,,,,,,,,"1,431",9.3,0.5,1.7,4,4,,,,,,,,"31,751",-13.3,"27,025","19,330",-16.6,"4,726","33,869",-6.9,"4,704","2,259","1,435","5,178","-1,666","-1,666","-20,108",191.8,160.7,4.5,215.2,163.6,8.0,,,,,,,,,,,,,,,,
