control_id,control_name,target_id,k,is_nn
1063,מעלות-תרשיחא,3000,3,False
1066,"בני עי""ש",3000,3,False
1137,קריית יערים,3000,3,False
1139,כרמיאל,3000,3,False
1200,מודיעין-מכבים-רעות,3000,3,False
1224,כוכב יאיר,3000,3,False
1247,חריש,3000,3,False
1263,כפר ורדים,3000,3,False
1268,מיתר,3000,3,False
1271,להבים,3000,3,False
1304,שוהם,3000,3,False
1309,אלעד,3000,3,False
2034,חצור הגלילית,3000,3,False
2100,טירת כרמל,3000,3,False
2200,דימונה,3000,3,False
2300,קריית טבעון,3000,3,False
2400,אור יהודה,3000,3,False
2500,נשר,3000,3,False
2530,באר יעקב,3000,3,False
2550,גדרה,3000,3,False
2560,ערד,3000,3,False
2600,אילת,3000,3,False
2610,בית שמש,3000,3,False
2620,קריית אונו,3000,3,False
2640,ראש העין,3000,3,False
2660,יבנה,3000,3,False
2800,קריית שמונה,3000,3,False
3557,קדומים,3000,3,False
3560,אלקנה,3000,3,False
3570,אריאל,3000,3,False
3574,בית אל,3000,3,False
3608,מעלה אפרים,3000,3,False
3611,קריית ארבע,3000,3,False
3616,מעלה אדומים,3000,3,False
3640,קרני שומרון,3000,3,False
3650,אפרת,3000,3,False
3652,בית אריה,3000,3,False
3660,עמנואל,3000,3,False
3730,גבעת זאב,3000,3,False
3750,אלפי מנשה,3000,3,False
3760,אורנית,3000,3,False
3769,הר אדר,3000,3,False
3780,ביתר עילית,3000,3,False
3797,מודיעין עילית,3000,3,False
4000,חיפה,3000,3,True
4100,קצרין,3000,3,False
5000,תל אביב-יפו,3000,3,True
6100,בני ברק,3000,3,False
6300,גבעתיים,3000,3,False
6400,הרצלייה,3000,3,False
6600,חולון,3000,3,False
6800,קריית אתא,3000,3,False
7200,נס ציונה,3000,3,False
7400,נתניה,3000,3,False
7600,עכו,3000,3,False
7700,עפולה,3000,3,False
7800,פרדס חנה-כרכור,3000,3,False
7900,פתח תקווה,3000,3,False
8200,קריית מוצקין,3000,3,False
8300,ראשון לציון,3000,3,False
8500,רמלה,3000,3,False
8700,רעננה,3000,3,False
9000,באר שבע,3000,3,False
9200,בית שאן,3000,3,False
9300,זכרון יעקב,3000,3,False
9400,יהוד,3000,3,False
9500,קריית ביאליק,3000,3,False
9600,קריית ים,3000,3,False
9700,הוד השרון,3000,3,False
9800,בנימינה-גבעת עדה,3000,3,False
3000,ירושלים,3000,3,False
26,ראש פינה,6200,3,False
28,מזכרת בתיה,6200,3,False
29,יסוד המעלה,6200,3,False
31,אופקים,6200,3,False
41,אליכין,6200,3,False
43,מטולה,6200,3,False
46,יבנאל,6200,3,False
47,כפר תבור,6200,3,False
65,מגדל,6200,3,False
70,אשדוד,6200,3,False
99,מצפה רמון,6200,3,False
122,רמת ישי,6200,3,False
154,תל מונד,6200,3,False
166,גן יבנה,6200,3,False
168,כפר יונה,6200,3,False
171,פרדסייה,6200,3,False
182,אבן יהודה,6200,3,False
195,קדימה-צורן,6200,3,False
229,גני תקווה,6200,3,False
240,יקנעם עילית,6200,3,False
246,נתיבות,6200,3,False
267,כפר שמריהו,6200,3,False
466,בית דגן,6200,3,False
469,קריית עקרון,6200,3,False
565,אזור,6200,3,False
587,סביון,6200,3,False
666,עומר,6200,3,False
681,גבעת שמואל,6200,3,False
812,שלומי,6200,3,False
831,ירוחם,6200,3,False
874,מגדל העמק,6200,3,False
922,רכסים,6200,3,False
1015,מבשרת ציון,6200,3,False
1020,אור עקיבא,6200,3,False
1031,שדרות,6200,3,False
1061,נצרת עילית/נוף הגליל,6200,3,False
1063,מעלות-תרשיחא,6200,3,False
1066,"בני עי""ש",6200,3,False
1137,קריית יערים,6200,3,False
1139,כרמיאל,6200,3,False
1200,מודיעין-מכבים-רעות,6200,3,False
1224,כוכב יאיר,6200,3,False
1247,חריש,6200,3,False
1263,כפר ורדים,6200,3,False
1268,מיתר,6200,3,False
1271,להבים,6200,3,False
1304,שוהם,6200,3,False
1309,אלעד,6200,3,False
2034,חצור הגלילית,6200,3,False
2100,טירת כרמל,6200,3,False
2200,דימונה,6200,3,False
2300,קריית טבעון,6200,3,False
2400,אור יהודה,6200,3,False
2500,נשר,6200,3,False
2530,באר יעקב,6200,3,False
2550,גדרה,6200,3,False
2560,ערד,6200,3,False
2600,אילת,6200,3,False
2610,בית שמש,6200,3,False
2620,קריית אונו,6200,3,False
2640,ראש העין,6200,3,False
2660,יבנה,6200,3,False
2800,קריית שמונה,6200,3,False
3557,קדומים,6200,3,False
3560,אלקנה,6200,3,False
3570,אריאל,6200,3,False
3574,בית אל,6200,3,False
3608,מעלה אפרים,6200,3,False
3611,קריית ארבע,6200,3,False
3616,מעלה אדומים,6200,3,False
3640,קרני שומרון,6200,3,False
3650,אפרת,6200,3,False
3652,בית אריה,6200,3,False
3660,עמנואל,6200,3,False
3730,גבעת זאב,6200,3,False
3750,אלפי מנשה,6200,3,False
3760,אורנית,6200,3,False
3769,הר אדר,6200,3,False
3780,ביתר עילית,6200,3,False
3797,מודיעין עילית,6200,3,False
4000,חיפה,6200,3,False
4100,קצרין,6200,3,False
5000,תל אביב-יפו,6200,3,False
6100,בני ברק,6200,3,False
6300,גבעתיים,6200,3,False
6400,הרצלייה,6200,3,False
6600,חולון,6200,3,True
6800,קריית אתא,6200,3,False
7200,נס ציונה,6200,3,False
7400,נתניה,6200,3,False
7600,עכו,6200,3,False
7700,עפולה,6200,3,False
7800,פרדס חנה-כרכור,6200,3,False
7900,פתח תקווה,6200,3,False
8200,קריית מוצקין,6200,3,False
8300,ראשון לציון,6200,3,False
8500,רמלה,6200,3,True
8700,רעננה,6200,3,False
9000,באר שבע,6200,3,False
9200,בית שאן,6200,3,False
9300,זכרון יעקב,6200,3,False
9400,יהוד,6200,3,False
9500,קריית ביאליק,6200,3,False
9600,קריית ים,6200,3,True
9700,הוד השרון,6200,3,False
9800,בנימינה-גבעת עדה,6200,3,False
6200,בת ים,6200,3,False
26,ראש פינה,6500,3,False
28,מזכרת בתיה,6500,3,False
29,יסוד המעלה,6500,3,False
31,אופקים,6500,3,False
41,אליכין,6500,3,False
43,מטולה,6500,3,False
46,יבנאל,6500,3,False
47,כפר תבור,6500,3,False
65,מגדל,6500,3,False
70,אשדוד,6500,3,False
99,מצפה רמון,6500,3,False
122,רמת ישי,6500,3,False
154,תל מונד,6500,3,False
166,גן יבנה,6500,3,False
168,כפר יונה,6500,3,False
171,פרדסייה,6500,3,False
182,אבן יהודה,6500,3,False
195,קדימה-צורן,6500,3,False
229,גני תקווה,6500,3,False
240,יקנעם עילית,6500,3,False
246,נתיבות,6500,3,False
267,כפר שמריהו,6500,3,False
466,בית דגן,6500,3,False
469,קריית עקרון,6500,3,False
565,אזור,6500,3,False
587,סביון,6500,3,False
666,עומר,6500,3,False
681,גבעת שמואל,6500,3,False
812,שלומי,6500,3,False
831,ירוחם,6500,3,False
874,מגדל העמק,6500,3,False
922,רכסים,6500,3,False
1015,מבשרת ציון,6500,3,False
1020,אור עקיבא,6500,3,False
1031,שדרות,6500,3,False
1061,נצרת עילית/נוף הגליל,6500,3,False
1063,מעלות-תרשיחא,6500,3,False
1066,"בני עי""ש",6500,3,False
1137,קריית יערים,6500,3,False
1139,כרמיאל,6500,3,False
1200,מודיעין-מכבים-רעות,6500,3,False
1224,כוכב יאיר,6500,3,False
1247,חריש,6500,3,False
1263,כפר ורדים,6500,3,False
1268,מיתר,6500,3,False
1271,להבים,6500,3,False
1304,שוהם,6500,3,False
1309,אלעד,6500,3,False
2034,חצור הגלילית,6500,3,False
2100,טירת כרמל,6500,3,False
2200,דימונה,6500,3,False
2300,קריית טבעון,6500,3,False
2400,אור יהודה,6500,3,False
2500,נשר,6500,3,False
2530,באר יעקב,6500,3,False
2550,גדרה,6500,3,False
2560,ערד,6500,3,False
2600,אילת,6500,3,False
2610,בית שמש,6500,3,False
2620,קריית אונו,6500,3,False
2640,ראש העין,6500,3,False
2660,יבנה,6500,3,False
2800,קריית שמונה,6500,3,False
3557,קדומים,6500,3,False
3560,אלקנה,6500,3,False
3570,אריאל,6500,3,False
3574,בית אל,6500,3,False
3608,מעלה אפרים,6500,3,False
3611,קריית ארבע,6500,3,False
3616,מעלה אדומים,6500,3,False
3640,קרני שומרון,6500,3,False
3650,אפרת,6500,3,False
3652,בית אריה,6500,3,False
3660,עמנואל,6500,3,False
3730,גבעת זאב,6500,3,False
3750,אלפי מנשה,6500,3,False
3760,אורנית,6500,3,False
3769,הר אדר,6500,3,False
3780,ביתר עילית,6500,3,False
3797,מודיעין עילית,6500,3,False
4000,חיפה,6500,3,False
4100,קצרין,6500,3,False
5000,תל אביב-יפו,6500,3,False
6100,בני ברק,6500,3,False
6300,גבעתיים,6500,3,False
6400,הרצלייה,6500,3,False
6600,חולון,6500,3,False
6800,קריית אתא,6500,3,False
7200,נס ציונה,6500,3,False
7400,נתניה,6500,3,False
7600,עכו,6500,3,False
7700,עפולה,6500,3,True
7800,פרדס חנה-כרכור,6500,3,True
7900,פתח תקווה,6500,3,False
8200,קריית מוצקין,6500,3,False
8300,ראשון לציון,6500,3,False
8500,רמלה,6500,3,False
8700,רעננה,6500,3,False
9000,באר שבע,6500,3,False
9200,בית שאן,6500,3,False
9300,זכרון יעקב,6500,3,False
9400,יהוד,6500,3,False
9500,קריית ביאליק,6500,3,False
9600,קריית ים,6500,3,False
9700,הוד השרון,6500,3,False
9800,בנימינה-גבעת עדה,6500,3,True
6500,חדרה,6500,3,False
26,ראש פינה,6700,3,False
28,מזכרת בתיה,6700,3,False
29,יסוד המעלה,6700,3,False
31,אופקים,6700,3,True
41,אליכין,6700,3,False
43,מטולה,6700,3,False
46,יבנאל,6700,3,False
47,כפר תבור,6700,3,False
65,מגדל,6700,3,False
70,אשדוד,6700,3,False
99,מצפה רמון,6700,3,False
122,רמת ישי,6700,3,False
154,תל מונד,6700,3,False
166,גן יבנה,6700,3,False
168,כפר יונה,6700,3,False
171,פרדסייה,6700,3,False
182,אבן יהודה,6700,3,False
195,קדימה-צורן,6700,3,False
229,גני תקווה,6700,3,False
240,יקנעם עילית,6700,3,False
246,נתיבות,6700,3,True
267,כפר שמריהו,6700,3,False
466,בית דגן,6700,3,False
469,קריית עקרון,6700,3,False
565,אזור,6700,3,False
587,סביון,6700,3,False
666,עומר,6700,3,False
681,גבעת שמואל,6700,3,False
812,שלומי,6700,3,False
831,ירוחם,6700,3,False
874,מגדל העמק,6700,3,False
922,רכסים,6700,3,False
1015,מבשרת ציון,6700,3,False
1020,אור עקיבא,6700,3,False
1031,שדרות,6700,3,False
1061,נצרת עילית/נוף הגליל,6700,3,False
1063,מעלות-תרשיחא,6700,3,False
1066,"בני עי""ש",6700,3,False
1137,קריית יערים,6700,3,False
1139,כרמיאל,6700,3,False
1200,מודיעין-מכבים-רעות,6700,3,False
1224,כוכב יאיר,6700,3,False
1247,חריש,6700,3,False
1263,כפר ורדים,6700,3,False
1268,מיתר,6700,3,False
1271,להבים,6700,3,False
1304,שוהם,6700,3,False
1309,אלעד,6700,3,False
2034,חצור הגלילית,6700,3,False
2100,טירת כרמל,6700,3,False
2200,דימונה,6700,3,False
2300,קריית טבעון,6700,3,False
2400,אור יהודה,6700,3,False
2500,נשר,6700,3,False
2530,באר יעקב,6700,3,False
2550,גדרה,6700,3,False
2560,ערד,6700,3,False
2600,אילת,6700,3,False
2610,בית שמש,6700,3,False
2620,קריית אונו,6700,3,False
2640,ראש העין,6700,3,False
2660,יבנה,6700,3,False
2800,קריית שמונה,6700,3,False
3557,קדומים,6700,3,False
3560,אלקנה,6700,3,False
3570,אריאל,6700,3,False
3574,בית אל,6700,3,False
3608,מעלה אפרים,6700,3,False
3611,קריית ארבע,6700,3,False
3616,מעלה אדומים,6700,3,False
3640,קרני שומרון,6700,3,False
3650,אפרת,6700,3,False
3652,בית אריה,6700,3,False
3660,עמנואל,6700,3,False
3730,גבעת זאב,6700,3,False
3750,אלפי מנשה,6700,3,False
3760,אורנית,6700,3,False
3769,הר אדר,6700,3,False
3780,ביתר עילית,6700,3,False
3797,מודיעין עילית,6700,3,False
4000,חיפה,6700,3,False
4100,קצרין,6700,3,False
5000,תל אביב-יפו,6700,3,False
6100,בני ברק,6700,3,False
6300,גבעתיים,6700,3,False
6400,הרצלייה,6700,3,False
6600,חולון,6700,3,False
6800,קריית אתא,6700,3,False
7200,נס ציונה,6700,3,False
7400,נתניה,6700,3,False
7600,עכו,6700,3,False
7700,עפולה,6700,3,False
7800,פרדס חנה-כרכור,6700,3,False
7900,פתח תקווה,6700,3,False
8200,קריית מוצקין,6700,3,False
8300,ראשון לציון,6700,3,False
8500,רמלה,6700,3,False
8700,רעננה,6700,3,False
9000,באר שבע,6700,3,False
9200,בית שאן,6700,3,True
9300,זכרון יעקב,6700,3,False
9400,יהוד,6700,3,False
9500,קריית ביאליק,6700,3,False
9600,קריית ים,6700,3,False
9700,הוד השרון,6700,3,False
9800,בנימינה-גבעת עדה,6700,3,False
6700,טבריה,6700,3,False
26,ראש פינה,6900,3,False
28,מזכרת בתיה,6900,3,False
29,יסוד המעלה,6900,3,False
31,אופקים,6900,3,False
41,אליכין,6900,3,False
43,מטולה,6900,3,False
46,יבנאל,6900,3,False
47,כפר תבור,6900,3,False
65,מגדל,6900,3,False
70,אשדוד,6900,3,False
99,מצפה רמון,6900,3,False
122,רמת ישי,6900,3,False
154,תל מונד,6900,3,False
166,גן יבנה,6900,3,False
168,כפר יונה,6900,3,False
171,פרדסייה,6900,3,False
182,אבן יהודה,6900,3,False
195,קדימה-צורן,6900,3,False
229,גני תקווה,6900,3,False
240,יקנעם עילית,6900,3,False
246,נתיבות,6900,3,False
267,כפר שמריהו,6900,3,False
466,בית דגן,6900,3,False
469,קריית עקרון,6900,3,False
565,אזור,6900,3,False
587,סביון,6900,3,False
666,עומר,6900,3,False
681,גבעת שמואל,6900,3,False
812,שלומי,6900,3,False
831,ירוחם,6900,3,False
874,מגדל העמק,6900,3,False
922,רכסים,6900,3,False
1015,מבשרת ציון,6900,3,False
1020,אור עקיבא,6900,3,False
1031,שדרות,6900,3,False
1061,נצרת עילית/נוף הגליל,6900,3,False
1063,מעלות-תרשיחא,6900,3,False
1066,"בני עי""ש",6900,3,False
1137,קריית יערים,6900,3,False
1139,כרמיאל,6900,3,False
1200,מודיעין-מכבים-רעות,6900,3,False
1224,כוכב יאיר,6900,3,False
1247,חריש,6900,3,False
1263,כפר ורדים,6900,3,False
1268,מיתר,6900,3,False
1271,להבים,6900,3,False
1304,שוהם,6900,3,False
1309,אלעד,6900,3,False
2034,חצור הגלילית,6900,3,False
2100,טירת כרמל,6900,3,False
2200,דימונה,6900,3,False
2300,קריית טבעון,6900,3,False
2400,אור יהודה,6900,3,False
2500,נשר,6900,3,False
2530,באר יעקב,6900,3,False
2550,גדרה,6900,3,False
2560,ערד,6900,3,False
2600,אילת,6900,3,False
2610,בית שמש,6900,3,False
2620,קריית אונו,6900,3,False
2640,ראש העין,6900,3,False
2660,יבנה,6900,3,False
2800,קריית שמונה,6900,3,False
3557,קדומים,6900,3,False
3560,אלקנה,6900,3,False
3570,אריאל,6900,3,False
3574,בית אל,6900,3,False
3608,מעלה אפרים,6900,3,False
3611,קריית ארבע,6900,3,False
3616,מעלה אדומים,6900,3,False
3640,קרני שומרון,6900,3,False
3650,אפרת,6900,3,False
3652,בית אריה,6900,3,False
3660,עמנואל,6900,3,False
3730,גבעת זאב,6900,3,False
3750,אלפי מנשה,6900,3,False
3760,אורנית,6900,3,False
3769,הר אדר,6900,3,False
3780,ביתר עילית,6900,3,False
3797,מודיעין עילית,6900,3,False
4000,חיפה,6900,3,False
4100,קצרין,6900,3,False
5000,תל אביב-יפו,6900,3,False
6100,בני ברק,6900,3,False
6300,גבעתיים,6900,3,False
6400,הרצלייה,6900,3,False
6600,חולון,6900,3,False
6800,קריית אתא,6900,3,False
7200,נס ציונה,6900,3,True
7400,נתניה,6900,3,False
